	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	0
1	42428297	811	0		0	2016-05-01 17:50:03.000000		0
0	42428297	732	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	1
1	42428297	812	0		0	2016-05-01 17:50:03.000000		1
0	42428297	733	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	2
1	42428297	813	0		0	2016-05-01 17:50:03.000000		2
0	42428297	734	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	3
1	42428297	814	0		0	2016-05-01 17:50:03.000000		3
0	42428297	735	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	4
1	42428297	815	0		0	2016-05-01 17:50:03.000000		4
0	42428297	736	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	5
1	42428297	816	0		0	2016-05-01 17:50:03.000000		5
0	42428297	737	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	6
1	42428297	817	0		0	2016-05-01 17:50:03.000000		6
0	42428297	738	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	7
1	42428297	818	0		0	2016-05-01 17:50:03.000000		7
0	42428297	739	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	8
1	42428297	819	0		0	2016-05-01 17:50:03.000000		8
0	42428297	740	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	9
1	42428297	820	0		0	2016-05-01 17:50:03.000000		9
0	42428297	741	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	10
1	42428297	821	0		0	2016-05-01 17:50:03.000000		10
0	42428297	742	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	11
1	42428297	822	0		0	2016-05-01 17:50:03.000000		11
0	42428297	743	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:03.000000	12
1	42428297	823	0		0	2016-05-01 17:50:03.000000		12
