	ta	tb	xa_lon	xa_lat	xb_lon	xb_lat	n	distance	duration	table_name	xa	xb	ia	ib	twa	twb	iv	iv_ta	iv_tb
9509	2016-05-01 18:00:03	2016-05-01 18:10:08	-73.98712921142578	40.7608528137207	-73.99124145507811	40.750244140625	1	1432.3126	605.0	yellow_tripdata_2016-05	(40.7608528137207, -73.98712921142578)	(40.750244140625, -73.99124145507811)	6775	5235625496	(Timestamp('2016-05-01 17:58:03'), Timestamp('2016-05-01 18:05:03'))	(Timestamp('2016-05-01 17:58:03'), Timestamp('2016-05-01 18:20:08'))	8.0	2016-05-01 17:58:02.114807	2016-05-01 18:02:37
949	2016-05-01 18:00:23	2016-05-01 18:05:40	-73.98455047607422	40.75941848754882	-73.98995971679686	40.75188064575195	1	965.6039999999999	317.0	yellow_tripdata_2016-05	(40.75941848754882, -73.98455047607422)	(40.75188064575195, -73.98995971679686)	9499	9416	(Timestamp('2016-05-01 17:58:23'), Timestamp('2016-05-01 18:05:23'))	(Timestamp('2016-05-01 17:58:23'), Timestamp('2016-05-01 18:15:40'))	5.0	2016-05-01 17:58:22.909398	2016-05-01 18:02:42
1259	2016-05-01 18:00:27	2016-05-01 18:08:42	-73.9815673828125	40.757930755615234	-73.99272918701173	40.75814056396485	1	1593.2466	495.00000000000006	yellow_tripdata_2016-05	(40.757930755615234, -73.9815673828125)	(40.75814056396485, -73.99272918701173)	3558	7877	(Timestamp('2016-05-01 17:58:27'), Timestamp('2016-05-01 18:05:27'))	(Timestamp('2016-05-01 17:58:27'), Timestamp('2016-05-01 18:18:42'))	4.0	2016-05-01 18:01:58.122470	2016-05-01 18:06:10
8912	2016-05-01 18:00:49	2016-05-01 18:04:55	-73.97951507568358	40.76453399658203	-73.97689056396483	40.7589225769043	1	804.67	246.00000000000003	yellow_tripdata_2016-05	(40.76453399658203, -73.97951507568358)	(40.7589225769043, -73.97689056396483)	29453	27213	(Timestamp('2016-05-01 17:58:49'), Timestamp('2016-05-01 18:05:49'))	(Timestamp('2016-05-01 17:58:49'), Timestamp('2016-05-01 18:14:55'))	4.0	2016-05-01 17:58:48.460582	2016-05-01 17:59:55
2762	2016-05-01 18:00:52	2016-05-01 18:04:37	-73.98062133789062	40.75990295410156	-73.98155212402342	40.76450347900391	1	675.9227999999999	225.0	yellow_tripdata_2016-05	(40.75990295410156, -73.98062133789062)	(40.76450347900391, -73.98155212402342)	3971196627	25273	(Timestamp('2016-05-01 17:58:52'), Timestamp('2016-05-01 18:05:52'))	(Timestamp('2016-05-01 17:58:52'), Timestamp('2016-05-01 18:14:37'))	3.0	2016-05-01 17:58:51.498431	2016-05-01 17:59:24
6636	2016-05-01 18:00:52	2016-05-01 18:09:14	-73.9902801513672	40.75643539428711	-73.9841537475586	40.764602661132805	1	1142.6314	502.00000000000006	yellow_tripdata_2016-05	(40.75643539428711, -73.9902801513672)	(40.764602661132805, -73.9841537475586)	6724	3308681109	(Timestamp('2016-05-01 17:58:52'), Timestamp('2016-05-01 18:05:52'))	(Timestamp('2016-05-01 17:58:52'), Timestamp('2016-05-01 18:19:14'))	6.0	2016-05-01 18:02:33.685375	2016-05-01 18:04:26
8414	2016-05-01 18:01:00	2016-05-01 18:06:24	-73.97987365722656	40.75508499145508	-73.99110412597656	40.7506217956543	1	1448.406	324.0	yellow_tripdata_2016-05	(40.75508499145508, -73.97987365722656)	(40.7506217956543, -73.99110412597656)	11117	37533	(Timestamp('2016-05-01 17:59:00'), Timestamp('2016-05-01 18:06:00'))	(Timestamp('2016-05-01 17:59:00'), Timestamp('2016-05-01 18:16:24'))	6.0	2016-05-01 17:58:59.865619	2016-05-01 18:00:37
7098	2016-05-01 18:01:08	2016-05-01 18:02:46	-73.99156188964845	40.764949798583984	-73.98541259765625	40.76539611816406	1	643.736	98.0	yellow_tripdata_2016-05	(40.764949798583984, -73.99156188964845)	(40.76539611816406, -73.98541259765625)	9619	2348991701	(Timestamp('2016-05-01 17:59:08'), Timestamp('2016-05-01 18:06:08'))	(Timestamp('2016-05-01 17:59:08'), Timestamp('2016-05-01 18:12:46'))	7.0	2016-05-01 18:02:36.603479	2016-05-01 18:03:33
6540	2016-05-01 18:01:13	2016-05-01 18:15:14	-73.97747039794923	40.75204086303711	-73.99095916748048	40.76041030883789	1	2381.8232	841.0	yellow_tripdata_2016-05	(40.75204086303711, -73.97747039794923)	(40.76041030883789, -73.99095916748048)	561042204	4938	(Timestamp('2016-05-01 17:59:13'), Timestamp('2016-05-01 18:06:13'))	(Timestamp('2016-05-01 17:59:13'), Timestamp('2016-05-01 18:25:14'))	8.0	2016-05-01 18:04:08.333571	2016-05-01 18:08:33
6583	2016-05-01 18:01:17	2016-05-01 18:05:54	-73.98179626464844	40.75804138183594	-73.99215698242188	40.76435089111328	1	1271.3786	277.0	yellow_tripdata_2016-05	(40.75804138183594, -73.98179626464844)	(40.76435089111328, -73.99215698242188)	42430350	4851	(Timestamp('2016-05-01 17:59:17'), Timestamp('2016-05-01 18:06:17'))	(Timestamp('2016-05-01 17:59:17'), Timestamp('2016-05-01 18:15:54'))	7.0	2016-05-01 17:59:16.527019	2016-05-01 18:02:34
